date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls
17.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
18.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
19.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
20.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
21.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
22.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
23.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
24.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
25.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
26.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
27.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
28.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
29.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
30.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
31.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
01.06.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
02.06.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
03.06.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
04.06.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
05.06.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
06.06.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
07.06.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
08.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
09.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
10.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
11.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
12.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
13.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
14.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
15.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
16.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
17.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
18.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
19.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
20.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
21.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
22.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
23.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
24.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
25.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
26.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
27.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
28.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
29.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
30.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
01.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
02.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
03.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
04.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
05.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
06.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
07.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
08.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
09.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
10.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
11.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
12.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
13.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
14.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
15.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
16.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
17.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
18.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
19.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
20.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
21.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
22.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
23.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
24.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
25.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
26.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
27.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
28.07.20,1.0,2.0,2.0,3.0,0.0,0.0,1.0,3.0
29.07.20,1.0,3.0,2.0,4.0,0.0,2.0,1.0,3.0
30.07.20,1.0,3.0,2.0,4.0,0.0,2.0,1.0,3.0
31.07.20,1.0,3.0,2.0,4.0,0.0,2.0,1.0,3.0
01.08.20,1.0,3.0,2.0,4.0,0.0,2.0,1.0,3.0
02.08.20,1.0,3.0,2.0,4.0,0.0,2.0,1.0,3.0
03.08.20,1.0,3.0,2.0,4.0,0.0,2.0,1.0,3.0
04.08.20,1.0,3.0,2.0,4.0,0.0,2.0,1.0,3.0
05.08.20,1.0,3.0,2.0,4.0,0.0,2.0,1.0,3.0
06.08.20,1.0,3.0,2.0,4.0,0.0,2.0,1.0,3.0
07.08.20,1.0,3.0,2.0,4.0,0.0,1.0,1.0,3.0
08.08.20,1.0,3.0,2.0,4.0,0.0,1.0,1.0,3.0
09.08.20,1.0,3.0,2.0,4.0,0.0,1.0,2.0,3.0
10.08.20,1.0,3.0,2.0,4.0,0.0,1.0,2.0,3.0
11.08.20,1.0,3.0,2.0,4.0,0.0,1.0,2.0,3.0
12.08.20,1.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0
13.08.20,1.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0
14.08.20,1.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0
15.08.20,1.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0
16.08.20,1.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0
17.08.20,1.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0
18.08.20,1.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0
19.08.20,1.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0
20.08.20,1.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0
21.08.20,1.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0
22.08.20,1.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0
23.08.20,1.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0
24.08.20,1.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0
25.08.20,1.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0
26.08.20,1.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0
27.08.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
28.08.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
29.08.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
30.08.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
31.08.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
01.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
02.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
03.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
04.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
05.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
06.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
07.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
08.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
09.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
10.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
11.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
12.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
13.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
14.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
15.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
16.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
17.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
18.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
19.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
20.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
21.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
22.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
23.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
24.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
25.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
26.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
27.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
28.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
29.09.20,1.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0
30.09.20,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0
01.10.20,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0
02.10.20,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0
03.10.20,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0
04.10.20,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0
05.10.20,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0
06.10.20,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0
07.10.20,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0
08.10.20,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0
09.10.20,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0
10.10.20,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0
11.10.20,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0
12.10.20,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0
13.10.20,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0
14.10.20,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0
15.10.20,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0
16.10.20,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0
17.10.20,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0
18.10.20,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0
19.10.20,1.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0
20.10.20,1.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0
21.10.20,1.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0
22.10.20,1.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0
23.10.20,1.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0
24.10.20,1.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0
25.10.20,1.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0
26.10.20,1.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0
27.10.20,1.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0
